gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,480,3392,6144,ck,2,0,53.1501,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,376.42,508.86,0.0
gfx942,304,496,3392,6144,ck,2,0,54.3601,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,380.31,501.34,0.0
gfx942,304,512,3392,6144,ck,2,0,53.8566,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,396.25,509.86,0.0
gfx942,304,588,3392,6144,ck,2,0,57.6556,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,425.08,493.31,0.0
gfx942,304,664,3392,6144,ck,2,0,58.8727,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,470.1,499.8,0.0
gfx942,304,768,3392,6144,ck,0,0,73.4453,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,435.85,418.94,0.0
gfx942,304,896,3392,6144,ck,0,0,76.5002,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,488.18,423.84,0.0
gfx942,304,1024,3392,6144,ck,0,0,77.8621,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,548.16,437.68,0.0
gfx942,304,2048,3392,6144,ck,0,0,133.2707,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,640.52,355.04,0.0
gfx942,304,3072,3392,6144,ck,0,0,205.5947,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,622.8,294.54,0.0
gfx942,304,4096,3392,6144,ck,0,0,223.8365,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,762.72,329.68,0.0
gfx942,304,8192,3392,6144,ck,0,0,437.433,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,780.58,289.75,0.0
